442000;440000;中山市;2
445100;440000;潮州市;2
445200;440000;揭阳市;2
445300;440000;云浮市;2
450100;450000;南宁市;2
450200;450000;柳州市;2
450300;450000;桂林市;2
450400;450000;梧州市;2
450500;450000;北海市;2
450600;450000;防城港市;2
450700;450000;钦州市;2
450800;450000;贵港市;2
450900;450000;玉林市;2
451000;450000;百色市;2
451100;450000;贺州市;2
451200;450000;河池市;2
451300;450000;来宾市;2
451400;450000;崇左市;2
460100;460000;海口市;2
460200;460000;三亚市;2
460300;460000;三沙市;2
500100;500000;市辖区;2
500200;500000;县;2
510100;510000;成都市;2
510300;510000;自贡市;2
510400;510000;攀枝花市;2
510500;510000;泸州市;2
510600;510000;德阳市;2
510700;510000;绵阳市;2
510800;510000;广元市;2
510900;510000;遂宁市;2
511000;510000;内江市;2
511100;510000;乐山市;2
511300;510000;南充市;2
511400;510000;眉山市;2
511500;510000;宜宾市;2
511600;510000;广安市;2
511700;510000;达州市;2
511800;510000;雅安市;2
511900;510000;巴中市;2
512000;510000;资阳市;2
513200;510000;阿坝藏族羌族自治州;2
513300;510000;甘孜藏族自治州;2
513400;510000;凉山彝族自治州;2
520100;520000;贵阳市;2
520200;520000;六盘水市;2
520300;520000;遵义市;2
520400;520000;安顺市;2
520500;520000;毕节市;2
520600;520000;铜仁市;2
522300;520000;黔西南布依族苗族自治州;2
522600;520000;黔东南苗族侗族自治州;2
522700;520000;黔南布依族苗族自治州;2
530100;530000;昆明市;2
530300;530000;曲靖市;2
530400;530000;玉溪市;2
530500;530000;保山市;2
530600;530000;昭通市;2
530700;530000;丽江市;2
530800;530000;普洱市;2
530900;530000;临沧市;2
532300;530000;楚雄彝族自治州;2
532500;530000;红河哈尼族彝族自治州;2
532600;530000;文山壮族苗族自治州;2
532800;530000;西双版纳傣族自治州;2
532900;530000;大理白族自治州;2
533100;530000;德宏傣族景颇族自治州;2
533300;530000;怒江傈僳族自治州;2
533400;530000;迪庆藏族自治州;2
540100;540000;拉萨市;2
542100;540000;昌都地区;2
542200;540000;山南地区;2
542300;540000;日喀则地区;2
542400;540000;那曲地区;2
542500;540000;阿里地区;2
542600;540000;林芝地区;2
610100;610000;西安市;2
610200;610000;铜川市;2
610300;610000;宝鸡市;2
610400;610000;咸阳市;2
610500;610000;渭南市;2
610600;610000;延安市;2
610700;610000;汉中市;2
610800;610000;榆林市;2
610900;610000;安康市;2
611000;610000;商洛市;2
620100;620000;兰州市;2
620200;620000;嘉峪关市;2
620300;620000;金昌市;2
620400;620000;白银市;2
620500;620000;天水市;2
620600;620000;武威市;2
620700;620000;张掖市;2
620800;620000;平凉市;2
620900;620000;酒泉市;2
